dataset,test_length,hard_alert_count,hard_tp,hard_fp,hard_fn,hard_precision,hard_recall,hard_f1,standard_review_count,standard_review_tp,standard_review_fp,priority_review_count,priority_review_tp,priority_review_fp,combined_f1
DodgerLoopDay_normal_2,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
DodgerLoopDay_normal_3,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
DodgerLoopDay_normal_4,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
DodgerLoopDay_normal_5,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
DodgerLoopDay_normal_6,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
DodgerLoopDay_normal_7,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
DodgerLoopGame_normal_1,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
DodgerLoopGame_normal_2,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
DodgerLoopWeekend_normal_1,100,0,0,0,2,0.0,0.0,0.0,1,0,1,0,0,0,0.0
DodgerLoopWeekend_normal_2,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
ECG200_normal_-1,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
ECG200_normal_1,100,1,1,0,1,1.0,0.5,0.6666666666666666,2,1,1,0,0,0,0.8
ECG5000_normal_1,2950,35,25,10,34,0.7142857142857143,0.423728813559322,0.5319148936170213,22,10,12,0,0,0,0.603448275862069
ECG5000_normal_2,1800,14,7,7,29,0.5,0.19444444444444445,0.28,0,0,0,0,0,0,0.28
ECG5000_normal_3,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
ECG5000_normal_4,150,0,0,0,3,0.0,0.0,0.0,2,1,1,0,0,0,0.4
ECG5000_normal_5,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
ECGFiveDays_normal_1,450,9,9,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
ECGFiveDays_normal_2,450,9,9,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
EOGHorizontalSignal_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
EOGHorizontalSignal_normal_10,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
EOGHorizontalSignal_normal_11,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
EOGHorizontalSignal_normal_12,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
EOGHorizontalSignal_normal_2,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
EOGHorizontalSignal_normal_3,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
EOGHorizontalSignal_normal_4,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
EOGHorizontalSignal_normal_5,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
EOGHorizontalSignal_normal_6,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
EOGHorizontalSignal_normal_7,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
